# Active MLB Players - 673 total
# Format: Player Name | FanGraphs ID

Pablo Reyes | 16357
Chad Stevens | 29614
Austin Nola | 15941
Ryan Mountcastle | 18373
Max Muncy | 29779
Tristan Peters | 30063
Eric Wagaman | 23395
Warming Bernabel | 26536
Jorge Barrosa | 23968
Niko Kavadas | 29782
Jose Siri | 17452
Weston Wilson | 19358
Ryan Noda | 23312
Jose Miranda | 20538
Hunter Feduccia | 23372
Carson McCusker | 33098
Ryan Kreidler | 25867
Bryan De La Cruz | 19600
Cam Devanney | 25688
Yuli Gurriel | 19198
Randal Grichuk | 10243
Jimmy Crooks | 31354
Michael Massey | 27684
Jon Berti | 12037
Johnathan Rodríguez | 22530
Andrés Chaparro | 21797
Will Wilson | 25434
Matt Mervis | 27845
Nolan Jones | 20529
Denzer Guzman | 28816
Luke Williams | 19931
Ben Rortvedt | 20287
Buddy Kennedy | 22505
Nick Martini | 12005
Robert Hassell III | 27482
Jordan Lawlar | 29976
Alexander Canario | 22842
Braxton Fulford | 29704
Jonah Heim | 16930
Jarred Kelenic | 22558
Kris Bryant | 15429
Everson Pereira | 23695
James Outman | 24770
Rece Hinds | 27493
Lane Thomas | 16939
Jorge Mateo | 17273
Jason Heyward | 4940
Trenton Brooks | 19384
Jack Suwinski | 22244
Tim Elko | 31522
Nick Castellanos | 11737
David Fry | 24934
Maverick Handley | 26106
Logan Davidson | 25844
MJ Melendez | 22197
Riley Adams | 19864
Michael Conforto | 16376
Drew Waters | 20505
Triston Casas | 22514
Christian Encarnacion-Strand | 30011
Ronny Simon | 25346
Endy Rodríguez | 25332
Mark Canha | 11445
Kevin Newman | 17696
Abraham Toro | 19844
Tyler Locklear | 31396
Jeimer Candelario | 13621
Joshua Palacios | 19818
Jonah Bride | 24703
Connor Wong | 19896
Mickey Gasper | 24759
Sean Bouchard | 21270
Tyler Freeman | 22532
Yanquiel Fernández | 28552
Connor Joe | 16572
Martín Maldonado | 6887
Joc Pederson | 11899
Leody Taveras | 18900
Edouard Julien | 27534
Jacob Amaya | 23296
Logan O'Hoppe | 24729
Oswald Peraza | 22823
Will Robertson | 25467
Orlando Arcia | 13185
DaShawn Keirsey Jr. | 24496
Adael Amador | 27962
Trey Sweeney | 29575
Alex Verdugo | 17027
Hunter Renfroe | 15464
Anthony Santander | 14551
Vinny Capra | 25040
Keibert Ruiz | 19610
Kyle Farmer | 14813
Jhonkensy Noel | 24257
Heston Kjerstad | 31166
Jordan Walker | 27475
Josh Rojas | 19734
Jacob Stallings | 13723
LaMonte Wade Jr. | 18126
Jac Caglianone | 35041
Michael Toglia | 25845
